eventID,userID,sessionID,docID,page,sourceText,translatedText,sourceLang,targetLang,translationMode,provider,translatedAt,settingsSnapshot,docName,isUndesired,translationOutputMode
1,3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,13,1,possibly,ενδεχομένως,en,el,word,deepl,2026-05-08T11:49:52.338Z,"{""zoom"": 1, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 286, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": 10, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""bee_reading_c1.pdf""}",bee_reading_c1.pdf,0,on
2,3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,13,1,around,γύρω από,en,el,word,deepl,2026-05-08T11:50:17.494Z,"{""zoom"": 1, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 286, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": -10, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""bee_reading_c1.pdf""}",bee_reading_c1.pdf,0,on
3,3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,13,1,"return,","επιστρέψει,",en,el,word,deepl,2026-05-08T11:50:17.697Z,"{""zoom"": 1, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 286, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": -10, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""bee_reading_c1.pdf""}",bee_reading_c1.pdf,0,on
4,3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,13,1,honeybee,μέλισσα,en,el,word,deepl,2026-05-08T11:50:17.952Z,"{""zoom"": 1, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 286, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": -10, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""bee_reading_c1.pdf""}",bee_reading_c1.pdf,0,on
5,3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,13,1,honeybee,μέλισσα,en,el,word,deepl,2026-05-08T11:50:17.997Z,"{""zoom"": 1, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 286, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": -10, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""bee_reading_c1.pdf""}",bee_reading_c1.pdf,0,on
6,3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,13,1,bee,μέλισσες,en,el,word,deepl,2026-05-08T11:50:18.043Z,"{""zoom"": 1, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 286, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": -10, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""bee_reading_c1.pdf""}",bee_reading_c1.pdf,0,on
7,3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,13,1,around,γύρω από,en,el,word,deepl,2026-05-08T11:50:18.279Z,"{""zoom"": 1, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 286, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": -10, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""bee_reading_c1.pdf""}",bee_reading_c1.pdf,0,on
8,3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,13,1,around,γύρω από,en,el,word,deepl,2026-05-08T11:50:18.282Z,"{""zoom"": 1, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 286, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": -10, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""bee_reading_c1.pdf""}",bee_reading_c1.pdf,0,on
9,3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,13,1,researchers,ερευνητές,en,el,word,deepl,2026-05-08T11:50:18.296Z,"{""zoom"": 1, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 286, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": -10, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""bee_reading_c1.pdf""}",bee_reading_c1.pdf,0,on
10,3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,13,1,need,χρεια,en,el,word,deepl,2026-05-08T11:50:19.179Z,"{""zoom"": 1, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 286, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": -10, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""bee_reading_c1.pdf""}",bee_reading_c1.pdf,0,on
11,3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,13,1,bees?,τις μέλισσες;,en,el,word,deepl,2026-05-08T11:50:21.060Z,"{""zoom"": 1, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 286, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": -10, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""bee_reading_c1.pdf""}",bee_reading_c1.pdf,0,on
