userID,Selected_language,theme,zoomLevel,baseGazeSamples,translationMode,translationOutputMode,gazeDetectionMode,gazeMappingMode,gazeYOffsetPx,gazeXOffsetPx,gazeHitRadiusPx
3,en,dark,1,286,word,on,circle,auto,-10,0,20
4,en,dark,1,300,word,on,circle,auto,22,0,30
5,en,dark,1,300,word,off,circle,auto,-14,0,20
6,en,dark,1,300,word,off,circle,auto,-1,0,20
7,en,dark,1,400,word,on,circle,auto,-16,0,22
8,en,dark,1,300,word,on,circle,auto,-18,0,20
9,en,dark,1,300,word,on,circle,auto,-14,0,20
10,en,dark,0.77,300,word,on,circle,auto,11,0,20
11,en,dark,1,450,word,off,circle,auto,-21,0,23
12,en,dark,1,300,word,on,circle,auto,-18,-17,25
13,en,dark,1,300,word,off,circle,auto,-25,0,22
14,en,dark,1.03,300,word,on,circle,auto,-7,0,20
15,en,dark,1,300,word,on,circle,auto,8,0,20
16,en,dark,1,225,word,on,circle,auto,-47,0,15
17,en,dark,1,300,word,off,circle,auto,-36,0,24
18,en,dark,1,300,word,on,circle,auto,-18,0,20
19,en,dark,1,444,word,off,circle,auto,-1,0,23
20,en,dark,1,300,word,off,circle,auto,26,0,20
21,en,dark,1,450,word,off,circle,auto,-18,0,25
22,en,dark,0.84,300,word,off,circle,auto,11,50,20
23,en,dark,1,300,word,off,circle,auto,-43,0,22
24,en,dark,1,300,word,on,circle,auto,-12,0,25
25,en,dark,1,300,word,off,circle,auto,8,0,22
26,en,dark,1,450,word,off,circle,auto,-23,0,22
27,en,dark,0.84,300,word,off,circle,auto,-1,0,20
28,en,dark,0.84,60,word,off,circle,auto,-14,0,20
29,en,dark,1,450,word,on,circle,auto,8,0,20
30,en,dark,1,450,word,off,circle,auto,-49,0,22
31,en,dark,0.84,300,word,off,circle,auto,8,0,20
32,en,dark,0.84,60,word,on,circle,auto,8,0,20
33,en,dark,1,458,word,on,circle,auto,8,0,20
34,en,dark,1,450,word,on,circle,auto,-45,0,22
35,en,dark,1,450,word,on,circle,auto,-25,0,22
36,en,dark,1.12,300,word,on,circle,auto,-5,0,22
37,en,dark,1,450,word,on,circle,auto,-21,0,22
38,en,dark,1,450,word,on,circle,auto,4,0,22
39,en,dark,1,450,word,off,circle,auto,-5,0,20
40,en,dark,1,450,word,on,circle,auto,-25,0,22
41,en,dark,1,450,word,on,circle,auto,-9,0,22
42,en,dark,1,450,word,on,circle,auto,17,0,23
43,en,dark,1,450,word,on,circle,auto,-21,0,22
44,en,dark,1,300,word,on,circle,auto,-14,0,20
45,en,dark,0.79,300,word,off,circle,auto,-38,-3,20
46,en,dark,1,450,word,on,circle,auto,-7,0,22
47,en,dark,0.84,300,word,on,circle,auto,-9,0,20
