section,docName,title,level,words,lexile,popup,n,users,total_minutes,duration_mean,duration_median,duration_sd,duration_min,duration_max,wpm_mean,wpm_median,wpm_sd,wpm_min,wpm_max
overall,,,,,,on,192,51,899.22,4.68,4.51,1.62,0.58,9.85,150.66,138.73,85.38,68.35,1091.38
overall,,,,,,off,185,51,905.18,4.89,4.57,2.08,0.45,18.15,145.87,137.38,90.75,30.52,1231.11
pdf,b2_animals_of_rainforests_1.pdf,Animals of the Tropical Rainforest,B2,714,1180L,on,17,17,82.48,4.85,4.93,1.30,2.75,8.27,157.48,144.83,43.83,86.34,259.64
pdf,b2_animals_of_rainforests_1.pdf,Animals of the Tropical Rainforest,B2,714,1180L,off,19,19,95.39,5.02,4.87,0.92,3.88,6.92,146.57,146.61,25.38,103.18,184.02
pdf,b2_electromagnetic_radiation_2.pdf,Electromagnetic Radiation,B2,609,1180L,on,18,18,80.03,4.45,4.39,1.33,2.13,6.78,150.55,138.73,51.73,89.82,285.92
pdf,b2_electromagnetic_radiation_2.pdf,Electromagnetic Radiation,B2,609,1180L,off,21,21,100.64,4.79,4.32,1.44,2.95,8.67,137.11,140.97,37.05,70.24,206.44
pdf,b2_first_american_3.pdf,The First American,B2,516,1180L,on,20,20,70.83,3.54,3.27,0.81,2.33,5.17,152.84,157.59,33.66,99.81,221.46
pdf,b2_first_american_3.pdf,The First American,B2,516,1180L,off,14,14,55.05,3.93,3.85,0.72,2.60,4.85,135.90,134.05,27.90,106.39,198.46
pdf,b2_sticky_fingers_4.pdf,"Sticky Fingers, Helping Hands",B2,727,1180L,on,20,20,95.70,4.79,4.30,1.41,3.30,8.08,162.63,169.13,39.40,89.98,220.30
pdf,b2_sticky_fingers_4.pdf,"Sticky Fingers, Helping Hands",B2,727,1180L,off,18,18,82.72,4.60,4.30,1.26,2.73,8.07,168.88,169.07,43.80,90.09,266.30
pdf,c1_age_of_exploration_1.pdf,The Age of Exploration,C1,677,1340L,on,20,20,109.56,5.48,4.82,1.77,3.05,9.85,135.17,140.54,40.16,68.73,221.97
pdf,c1_age_of_exploration_1.pdf,The Age of Exploration,C1,677,1340L,off,15,15,83.35,5.56,4.87,2.49,2.95,13.18,139.29,139.01,47.74,51.37,229.49
pdf,c1_bee_reading_2.pdf,Worldwide Loss of Bees a Growing Concern,C1,688,1340L,on,16,16,79.72,4.98,4.67,1.76,2.24,9.32,154.65,147.51,56.91,73.82,307.14
pdf,c1_bee_reading_2.pdf,Worldwide Loss of Bees a Growing Concern,C1,688,1340L,off,19,19,102.05,5.37,5.02,2.08,2.48,10.82,143.66,137.05,48.63,63.59,277.42
pdf,c1_native_american_conflicts_3.pdf,Native American Conflicts,C1,554,1340L,on,13,13,61.03,4.69,4.43,1.52,2.45,7.95,129.82,125.06,42.34,69.69,226.12
pdf,c1_native_american_conflicts_3.pdf,Native American Conflicts,C1,554,1340L,off,21,21,116.40,5.54,4.53,4.35,0.45,18.15,182.18,122.30,247.32,30.52,1231.11
pdf,c1_walt_disney_4.pdf,Walt Disney Goes to War,C1,633,1340L,on,22,22,105.67,4.80,4.86,1.91,0.58,8.38,184.30,130.41,207.94,75.54,1091.38
pdf,c1_walt_disney_4.pdf,Walt Disney Goes to War,C1,633,1340L,off,14,14,63.88,4.56,4.39,0.86,3.52,6.22,142.97,144.19,24.69,101.77,179.83
pdf,c2_noisy_humans_1.pdf,Noisy Humans Drown Out Sounds of Nature in Protected Areas,C2,688,1500L,on,23,23,129.66,5.64,6.03,1.62,2.71,8.47,134.80,114.10,48.92,81.23,253.87
pdf,c2_noisy_humans_1.pdf,Noisy Humans Drown Out Sounds of Nature in Protected Areas,C2,688,1500L,off,23,23,120.25,5.23,5.10,1.30,2.87,8.37,139.81,134.90,36.57,82.20,239.72
pdf,c2_rosa_parks_2.pdf,Rosa Parks: 100th Birthday,C2,419,1470L,on,23,23,84.54,3.68,3.87,1.40,0.92,6.13,139.56,108.27,84.13,68.35,455.43
pdf,c2_rosa_parks_2.pdf,Rosa Parks: 100th Birthday,C2,419,1470L,off,21,21,85.45,4.07,3.57,1.80,1.82,9.37,119.84,117.37,45.91,44.72,230.22
