username,firstTimestamp,secondTimestamp,firstRawID,secondRawID,firstSUS,secondSUS,change,firstValues,secondValues,firstContrib,secondContrib
1108367,2026/05/18 1:23:52 μ.μ. GMT+3,2026/05/21 11:46:29 π.μ. GMT+3,1108367,1108367 2,85.0,90.0,5.0,"[4, 1, 5, 2, 4, 3, 5, 1, 4, 1]","[4, 1, 5, 1, 4, 2, 5, 1, 4, 1]","[3, 4, 4, 3, 3, 2, 4, 4, 3, 4]","[3, 4, 4, 4, 3, 3, 4, 4, 3, 4]"
1108348,2026/05/18 1:59:34 μ.μ. GMT+3,2026/05/21 12:17:07 μ.μ. GMT+3,1108348,1108348 2,80.0,85.0,5.0,"[4, 1, 4, 2, 5, 3, 4, 2, 4, 1]","[5, 1, 4, 3, 4, 1, 4, 1, 4, 1]","[3, 4, 3, 3, 4, 2, 3, 3, 3, 4]","[4, 4, 3, 2, 3, 4, 3, 4, 3, 4]"
1108382,2026/05/18 2:43:26 μ.μ. GMT+3,2026/05/21 2:51:36 μ.μ. GMT+3,1108382,1108382-2,50.0,77.5,27.5,"[2, 3, 4, 4, 2, 4, 5, 2, 2, 2]","[4, 2, 3, 2, 4, 1, 4, 2, 4, 1]","[1, 2, 3, 1, 1, 1, 4, 3, 1, 3]","[3, 3, 2, 3, 3, 4, 3, 3, 3, 4]"
1108360,2026/05/18 3:04:15 μ.μ. GMT+3,2026/06/03 3:34:11 μ.μ. GMT+3,1108360,1108360,85.0,85.0,0.0,"[2, 1, 5, 1, 4, 2, 4, 1, 5, 1]","[3, 1, 4, 1, 4, 2, 4, 1, 5, 1]","[1, 4, 4, 4, 3, 3, 3, 4, 4, 4]","[2, 4, 3, 4, 3, 3, 3, 4, 4, 4]"
1093403,2026/05/18 3:30:59 μ.μ. GMT+3,2026/05/21 11:14:50 π.μ. GMT+3,1093403,1093403,72.5,70.0,-2.5,"[4, 2, 4, 2, 4, 4, 4, 2, 5, 2]","[4, 2, 4, 2, 4, 4, 4, 2, 4, 2]","[3, 3, 3, 3, 3, 1, 3, 3, 4, 3]","[3, 3, 3, 3, 3, 1, 3, 3, 3, 3]"
1093322,2026/05/18 4:04:19 μ.μ. GMT+3,2026/05/27 9:28:08 π.μ. GMT+3,1093322,1093322,80.0,80.0,0.0,"[4, 1, 3, 1, 3, 2, 5, 2, 4, 1]","[4, 1, 4, 2, 4, 3, 4, 1, 4, 1]","[3, 4, 2, 4, 2, 3, 4, 3, 3, 4]","[3, 4, 3, 3, 3, 2, 3, 4, 3, 4]"
1112121,2026/05/18 4:30:21 μ.μ. GMT+3,2026/05/21 4:23:35 μ.μ. GMT+3,1112121,1112121 2,95.0,100.0,5.0,"[5, 1, 5, 1, 4, 2, 5, 1, 5, 1]","[5, 1, 5, 1, 5, 1, 5, 1, 5, 1]","[4, 4, 4, 4, 3, 3, 4, 4, 4, 4]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
1097463,2026/05/18 4:59:53 μ.μ. GMT+3,2026/05/21 2:13:17 μ.μ. GMT+3,1097463,1097463 2,85.0,100.0,15.0,"[4, 1, 5, 1, 4, 5, 5, 1, 5, 1]","[5, 1, 5, 1, 5, 1, 5, 1, 5, 1]","[3, 4, 4, 4, 3, 0, 4, 4, 4, 4]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
1108323,2026/05/18 5:29:36 μ.μ. GMT+3,2026/05/21 4:50:09 μ.μ. GMT+3,1108323,1108323 2,82.5,95.0,12.5,"[2, 1, 4, 1, 4, 2, 5, 1, 4, 1]","[4, 1, 5, 1, 4, 1, 5, 1, 5, 1]","[1, 4, 3, 4, 3, 3, 4, 4, 3, 4]","[3, 4, 4, 4, 3, 4, 4, 4, 4, 4]"
1112096,2026/05/18 6:34:03 μ.μ. GMT+3,2026/05/21 11:29:35 π.μ. GMT+3,1112096,1112096 2,75.0,67.5,-7.5,"[5, 2, 3, 2, 4, 2, 4, 1, 3, 2]","[3, 1, 4, 2, 3, 2, 4, 4, 3, 1]","[4, 3, 2, 3, 3, 3, 3, 4, 2, 3]","[2, 4, 3, 3, 2, 3, 3, 1, 2, 4]"
1112106,2026/05/18 7:04:57 μ.μ. GMT+3,2026/05/28 6:40:02 μ.μ. GMT+3,1112106,1112106 2,67.5,87.5,20.0,"[2, 2, 3, 3, 4, 2, 5, 2, 3, 1]","[3, 1, 5, 1, 3, 2, 5, 1, 5, 1]","[1, 3, 2, 2, 3, 3, 4, 3, 2, 4]","[2, 4, 4, 4, 2, 3, 4, 4, 4, 4]"
1112139,2026/05/18 7:55:00 μ.μ. GMT+3,2026/05/28 6:37:52 μ.μ. GMT+3,1112139,1112139 2,77.5,80.0,2.5,"[4, 2, 3, 1, 3, 3, 5, 2, 5, 1]","[5, 2, 4, 2, 3, 3, 5, 2, 5, 1]","[3, 3, 2, 4, 2, 2, 4, 3, 4, 4]","[4, 3, 3, 3, 2, 2, 4, 3, 4, 4]"
