username,quiz_count,mean_score_percent,popup_on_n,popup_on_mean,popup_off_n,popup_off_mean,popup_on_minus_off,visible_cursor_n,visible_cursor_mean,hidden_cursor_n,hidden_cursor_mean,sus_first,sus_second,sus_change
1059657,8,90.0,4,90.0,4,90.0,0.0,8,90.0,0,,62.5,52.5,-10.0
1065023,8,72.5,4,60.0,4,85.0,-25.0,3,53.33,5,84.0,77.5,82.5,5.0
1070729,8,82.5,4,70.0,4,95.0,-25.0,7,80.0,1,100.0,85.0,85.0,0.0
1080401,8,67.5,4,65.0,4,70.0,-5.0,7,65.71,1,80.0,80.0,90.0,10.0
1084609,8,83.33,4,95.0,4,71.67,23.33,8,83.33,0,,70.0,72.5,2.5
1090053,8,87.5,4,90.0,4,85.0,5.0,7,88.57,1,80.0,75.0,87.5,12.5
1093313,6,80.0,3,73.33,3,86.67,-13.33,3,80.0,3,80.0,77.5,60.0,-17.5
1093322,5,81.33,2,70.0,3,88.89,-18.89,3,93.33,2,63.34,80.0,80.0,0.0
1093332,8,72.92,4,75.83,4,70.0,5.83,3,66.67,5,76.67,60.0,65.0,5.0
1093348,8,90.0,4,90.0,4,90.0,0.0,6,90.0,2,90.0,72.5,75.0,2.5
1093379,8,85.0,4,80.0,4,90.0,-10.0,8,85.0,0,,82.5,87.5,5.0
1093390,8,80.0,4,80.0,4,80.0,0.0,6,76.67,2,90.0,75.0,82.5,7.5
1093403,8,57.5,4,70.0,4,45.0,25.0,4,65.0,4,50.0,72.5,70.0,-2.5
1093413,8,80.0,4,80.0,4,80.0,0.0,4,80.0,4,80.0,87.5,80.0,-7.5
1093505,8,90.0,4,90.0,4,90.0,0.0,5,92.0,3,86.67,82.5,80.0,-2.5
1093515,6,90.0,3,80.0,3,100.0,-20.0,6,90.0,0,,87.5,80.0,-7.5
1095564,8,82.92,4,85.83,4,80.0,5.83,6,87.22,2,70.0,87.5,85.0,-2.5
1097463,8,77.92,4,65.0,4,90.83,-25.83,5,84.67,3,66.67,85.0,100.0,15.0
1100496,8,67.5,4,70.0,4,65.0,5.0,8,67.5,0,,82.5,85.0,2.5
1100497,8,87.92,4,85.0,4,90.83,-5.83,7,88.57,1,83.33,82.5,70.0,-12.5
1100613,8,85.83,4,85.0,4,86.67,-1.67,3,82.22,5,88.0,82.5,82.5,0.0
1100663,8,85.0,4,85.0,4,85.0,0.0,7,85.71,1,80.0,70.0,70.0,0.0
1100758,8,75.0,4,60.0,4,90.0,-30.0,7,71.43,1,100.0,65.0,77.5,12.5
1103080,8,82.5,4,80.0,4,85.0,-5.0,6,80.0,2,90.0,75.0,67.5,-7.5
1104782,8,46.25,4,47.5,4,45.0,2.5,5,46.0,3,46.67,95.0,92.5,-2.5
1104806,8,87.5,4,90.0,4,85.0,5.0,7,88.57,1,80.0,70.0,77.5,7.5
1104816,8,82.92,4,95.83,4,70.0,25.83,7,91.9,1,20.0,92.5,82.5,-10.0
1104818,8,90.42,4,100.0,4,80.83,19.17,6,87.22,2,100.0,62.5,65.0,2.5
1108323,8,85.42,4,85.0,4,85.83,-0.83,2,80.0,6,87.22,82.5,95.0,12.5
1108328,5,84.67,3,87.78,2,80.0,7.78,4,80.83,1,100.0,90.0,80.0,-10.0
1108330,7,61.9,3,53.33,4,68.33,-15.0,7,61.9,0,,87.5,85.0,-2.5
1108335,8,67.92,4,70.83,4,65.0,5.83,4,55.83,4,80.0,87.5,87.5,0.0
1108339,8,90.42,3,86.67,5,92.67,-6.0,6,90.56,2,90.0,87.5,82.5,-5.0
1108344,8,75.83,4,80.0,4,71.67,8.33,8,75.83,0,,85.0,87.5,2.5
1108346,8,87.5,4,90.0,4,85.0,5.0,3,80.0,5,92.0,70.0,75.0,5.0
1108348,8,80.42,4,80.0,4,80.83,-0.83,5,80.67,3,80.0,80.0,85.0,5.0
1108349,8,97.5,4,100.0,4,95.0,5.0,2,100.0,6,96.67,77.5,85.0,7.5
1108353,2,80.0,1,80.0,1,80.0,0.0,2,80.0,0,,,,
1108357,8,77.5,4,75.0,4,80.0,-5.0,7,80.0,1,60.0,85.0,77.5,-7.5
1108360,8,90.42,5,88.67,3,93.33,-4.67,7,89.05,1,100.0,85.0,85.0,0.0
1108364,8,70.0,4,80.0,4,60.0,20.0,8,70.0,0,,75.0,82.5,7.5
1108365,8,82.5,4,95.0,4,70.0,25.0,8,82.5,0,,77.5,80.0,2.5
1108367,8,82.92,4,85.83,4,80.0,5.83,6,77.22,2,100.0,85.0,90.0,5.0
1108382,8,77.92,4,85.83,4,70.0,15.83,6,87.22,2,50.0,50.0,77.5,27.5
1108387,6,86.67,3,86.67,3,86.67,0.0,6,86.67,0,,85.0,80.0,-5.0
1112096,5,38.67,4,48.33,1,0.0,48.33,3,57.78,2,10.0,75.0,67.5,-7.5
1112106,7,57.14,3,46.67,4,65.0,-18.33,4,35.0,3,86.67,67.5,87.5,20.0
1112115,8,75.0,4,70.0,4,80.0,-10.0,8,75.0,0,,100.0,100.0,0.0
1112119c,5,92.0,3,100.0,2,80.0,20.0,4,90.0,1,100.0,77.5,87.5,10.0
1112121,7,74.76,4,75.83,3,73.33,2.5,3,74.44,4,75.0,95.0,100.0,5.0
1112139,8,46.67,4,55.0,4,38.33,16.67,6,50.0,2,36.66,77.5,80.0,2.5
