username,on_sessions,off_sessions,mean_minutes_on,mean_minutes_off,minutes_on_minus_off,faster_by_duration,mean_wpm_on,mean_wpm_off,wpm_on_minus_off,faster_by_wpm
1059657,4,4,5.67,4.51,1.16,off,121.15,129.66,-8.51,off
1065023,4,4,4.05,5.62,-1.57,on,144.77,122.33,22.45,on
1070729,4,4,4.61,4.44,0.17,off,135.41,138.54,-3.13,off
1080401,4,4,7.52,11.69,-4.17,on,86.53,50.50,36.03,on
1084609,4,4,4.07,6.43,-2.36,on,151.07,121.12,29.94,on
1090053,4,4,4.17,4.67,-0.50,on,131.36,150.03,-18.67,off
1093313,3,3,5.42,3.44,1.98,off,115.91,195.68,-79.76,off
1093322,2,3,6.01,5.51,0.50,off,105.43,128.99,-23.56,off
1093332,4,4,6.75,4.36,2.40,off,106.36,121.23,-14.87,off
1093348,4,4,5.13,5.29,-0.16,on,114.83,116.87,-2.04,off
1093379,4,4,7.25,5.39,1.86,off,88.91,109.95,-21.05,off
1093390,4,4,5.53,5.23,0.29,off,114.17,119.41,-5.25,off
1093403,4,4,4.19,4.27,-0.08,on,173.44,135.77,37.67,on
1093413,4,3,4.64,4.75,-0.11,on,149.50,128.94,20.56,on
1093505,4,4,3.75,5.06,-1.30,on,155.13,137.94,17.18,on
1093515,3,3,4.87,4.62,0.25,off,117.85,139.45,-21.60,off
1095564,4,2,2.92,3.17,-0.25,on,217.27,223.19,-5.92,off
1097463,4,4,3.58,4.82,-1.24,on,161.44,141.47,19.97,on
1100496,4,4,4.50,4.91,-0.41,on,138.18,133.71,4.47,on
1100497,4,4,4.35,4.42,-0.07,on,130.84,154.49,-23.65,off
1100613,4,4,4.75,4.69,0.06,off,124.93,141.29,-16.36,off
1100663,4,4,4.49,5.99,-1.50,on,134.26,111.12,23.15,on
1100758,4,4,4.71,6.75,-2.03,on,121.66,123.36,-1.70,off
1103080,3,3,3.17,2.92,0.25,off,231.14,204.48,26.67,on
1104782,4,4,6.85,4.64,2.21,off,99.58,118.42,-18.84,off
1104806,4,4,5.90,4.71,1.19,off,115.01,124.74,-9.73,off
1104816,4,4,4.83,3.79,1.04,off,131.60,161.15,-29.55,off
1104818,4,4,3.92,3.85,0.06,off,179.65,150.03,29.62,on
1108323,4,4,4.20,3.71,0.49,off,162.28,164.64,-2.36,off
1108328,3,2,4.06,3.79,0.27,off,167.78,148.16,19.61,on
1108330,3,4,5.18,5.43,-0.24,on,126.73,108.68,18.05,on
1108335,4,4,5.63,4.71,0.92,off,122.99,125.77,-2.78,off
1108339,3,5,4.00,4.11,-0.12,on,156.09,160.03,-3.94,off
1108344,4,4,4.09,3.81,0.28,off,159.74,160.96,-1.21,off
1108346,4,4,3.56,4.10,-0.54,on,167.78,166.27,1.51,on
1108348,4,4,5.13,7.26,-2.13,on,110.01,96.44,13.57,on
1108349,4,4,2.76,2.81,-0.05,on,235.15,222.63,12.52,on
1108353,1,1,8.73,18.15,-9.42,on,77.55,30.52,47.03,on
1108357,4,4,4.85,5.63,-0.79,on,117.93,113.02,4.91,on
1108360,5,3,3.27,3.08,0.19,off,200.75,213.55,-12.80,off
1108364,4,4,5.93,4.52,1.41,off,110.39,130.28,-19.89,off
1108365,4,4,3.35,3.47,-0.12,on,209.61,162.73,46.88,on
1108367,4,4,3.45,2.83,0.62,off,196.11,205.61,-9.50,off
1108382,4,3,5.57,6.16,-0.59,on,122.62,100.87,21.75,on
1108387,3,3,6.89,5.91,0.98,off,90.12,116.12,-25.99,off
1112096,3,1,6.62,7.52,-0.90,on,102.48,55.72,46.76,on
1112106,3,4,3.06,4.25,-1.19,on,179.73,170.63,9.10,on
1112115,4,4,3.62,4.25,-0.62,on,165.96,152.88,13.09,on
1112119c,3,2,5.27,5.17,0.10,off,134.93,114.38,20.55,on
1112121,4,3,2.70,4.49,-1.80,on,212.86,151.13,61.72,on
1112139,4,4,5.75,5.59,0.16,off,134.31,145.95,-11.64,off
